GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022400007,12,201939,Stephen Curry,1610612744,Golden State Warriors,1,11,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-199,157,1,1,20241112,GSW,DAL
Shot Chart Detail,0022400007,37,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,14,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-34,15,1,1,20241112,GSW,DAL
Shot Chart Detail,0022400007,42,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,0,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,179,237,1,0,20241112,GSW,DAL
Shot Chart Detail,0022400007,94,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,22,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,31,-175,264,1,1,20241112,GSW,DAL
Shot Chart Detail,0022400007,121,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,26,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,137,36,1,0,20241112,GSW,DAL
Shot Chart Detail,0022400007,128,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,7,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,161,120,1,1,20241112,GSW,DAL
Shot Chart Detail,0022400007,133,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,33,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,2,1,0,20241112,GSW,DAL
Shot Chart Detail,0022400007,148,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,14,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-25,183,1,1,20241112,GSW,DAL
Shot Chart Detail,0022400007,295,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,18,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,129,252,1,0,20241112,GSW,DAL
Shot Chart Detail,0022400007,347,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,8,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,5,71,1,1,20241112,GSW,DAL
Shot Chart Detail,0022400007,370,201939,Stephen Curry,1610612744,Golden State Warriors,3,11,27,Made Shot,Driving Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-48,9,1,1,20241112,GSW,DAL
Shot Chart Detail,0022400007,383,201939,Stephen Curry,1610612744,Golden State Warriors,3,10,6,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,53,11,1,0,20241112,GSW,DAL
Shot Chart Detail,0022400007,387,201939,Stephen Curry,1610612744,Golden State Warriors,3,9,50,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,49,30,1,1,20241112,GSW,DAL
Shot Chart Detail,0022400007,391,201939,Stephen Curry,1610612744,Golden State Warriors,3,9,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,22,273,1,0,20241112,GSW,DAL
Shot Chart Detail,0022400007,414,201939,Stephen Curry,1610612744,Golden State Warriors,3,8,4,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,135,247,1,1,20241112,GSW,DAL
Shot Chart Detail,0022400007,443,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,35,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,30,-11,305,1,0,20241112,GSW,DAL
Shot Chart Detail,0022400007,465,201939,Stephen Curry,1610612744,Golden State Warriors,3,5,5,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-49,16,1,0,20241112,GSW,DAL
Shot Chart Detail,0022400007,488,201939,Stephen Curry,1610612744,Golden State Warriors,3,4,10,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,62,30,1,1,20241112,GSW,DAL
Shot Chart Detail,0022400007,520,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,9,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,47,27,1,0,20241112,GSW,DAL
Shot Chart Detail,0022400007,522,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,6,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,37,1,0,20241112,GSW,DAL
Shot Chart Detail,0022400007,625,201939,Stephen Curry,1610612744,Golden State Warriors,4,6,35,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-39,4,1,0,20241112,GSW,DAL
Shot Chart Detail,0022400007,632,201939,Stephen Curry,1610612744,Golden State Warriors,4,6,19,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-86,242,1,0,20241112,GSW,DAL
Shot Chart Detail,0022400007,669,201939,Stephen Curry,1610612744,Golden State Warriors,4,4,20,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,4,272,1,0,20241112,GSW,DAL
Shot Chart Detail,0022400007,686,201939,Stephen Curry,1610612744,Golden State Warriors,4,3,10,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-120,92,1,1,20241112,GSW,DAL
Shot Chart Detail,0022400007,690,201939,Stephen Curry,1610612744,Golden State Warriors,4,2,36,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,138,251,1,1,20241112,GSW,DAL
Shot Chart Detail,0022400007,699,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,50,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,36,30,1,1,20241112,GSW,DAL
Shot Chart Detail,0022400007,706,201939,Stephen Curry,1610612744,Golden State Warriors,4,0,27,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,49,277,1,1,20241112,GSW,DAL
Shot Chart Detail,0022400019,119,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-154,198,1,0,20241115,GSW,MEM
Shot Chart Detail,0022400019,289,201939,Stephen Curry,1610612744,Golden State Warriors,2,5,6,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,23,45,1,0,20241115,GSW,MEM
Shot Chart Detail,0022400019,300,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,24,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,45,257,1,0,20241115,GSW,MEM
Shot Chart Detail,0022400019,325,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,205,159,1,1,20241115,GSW,MEM
Shot Chart Detail,0022400019,383,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,2,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,131,6,1,1,20241115,GSW,MEM
Shot Chart Detail,0022400019,409,201939,Stephen Curry,1610612744,Golden State Warriors,3,11,19,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-147,210,1,1,20241115,GSW,MEM
Shot Chart Detail,0022400019,412,201939,Stephen Curry,1610612744,Golden State Warriors,3,10,57,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,-125,281,1,0,20241115,GSW,MEM
Shot Chart Detail,0022400019,498,201939,Stephen Curry,1610612744,Golden State Warriors,3,5,33,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,29,10,294,1,0,20241115,GSW,MEM
Shot Chart Detail,0022400019,538,201939,Stephen Curry,1610612744,Golden State Warriors,3,3,33,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-181,188,1,1,20241115,GSW,MEM
Shot Chart Detail,0022400032,41,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,18,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,29,-20,299,1,1,20241122,NOP,GSW
Shot Chart Detail,0022400032,85,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,37,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,8,1,1,20241122,NOP,GSW
Shot Chart Detail,0022400032,91,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,0,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-164,210,1,0,20241122,NOP,GSW
Shot Chart Detail,0022400032,291,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,21,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,192,184,1,1,20241122,NOP,GSW
Shot Chart Detail,0022400032,294,201939,Stephen Curry,1610612744,Golden State Warriors,2,3,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,92,167,1,0,20241122,NOP,GSW
Shot Chart Detail,0022400032,307,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,48,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-159,21,1,0,20241122,NOP,GSW
Shot Chart Detail,0022400032,326,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-152,218,1,1,20241122,NOP,GSW
Shot Chart Detail,0022400032,358,201939,Stephen Curry,1610612744,Golden State Warriors,3,11,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-94,243,1,0,20241122,NOP,GSW
Shot Chart Detail,0022400032,380,201939,Stephen Curry,1610612744,Golden State Warriors,3,9,24,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,13,100,1,0,20241122,NOP,GSW
Shot Chart Detail,0022400032,420,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,6,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,179,210,1,1,20241122,NOP,GSW
Shot Chart Detail,0022400032,638,201939,Stephen Curry,1610612744,Golden State Warriors,4,4,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,218,117,1,0,20241122,NOP,GSW
Shot Chart Detail,0022400032,645,201939,Stephen Curry,1610612744,Golden State Warriors,4,3,38,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,43,74,1,0,20241122,NOP,GSW
Shot Chart Detail,0022400032,651,201939,Stephen Curry,1610612744,Golden State Warriors,4,2,53,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,1,1,1,20241122,NOP,GSW
Shot Chart Detail,0022400058,145,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,153,215,1,0,20241203,DEN,GSW
Shot Chart Detail,0022400058,148,201939,Stephen Curry,1610612744,Golden State Warriors,1,1,35,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-157,55,1,0,20241203,DEN,GSW
Shot Chart Detail,0022400058,154,201939,Stephen Curry,1610612744,Golden State Warriors,1,1,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,64,257,1,1,20241203,DEN,GSW
Shot Chart Detail,0022400058,158,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,59,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-38,21,1,0,20241203,DEN,GSW
Shot Chart Detail,0022400058,168,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,36,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,30,77,291,1,0,20241203,DEN,GSW
Shot Chart Detail,0022400058,172,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,6,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,16,1,1,20241203,DEN,GSW
Shot Chart Detail,0022400058,204,201939,Stephen Curry,1610612744,Golden State Warriors,2,10,35,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-36,28,1,1,20241203,DEN,GSW
Shot Chart Detail,0022400058,208,201939,Stephen Curry,1610612744,Golden State Warriors,2,10,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-217,148,1,0,20241203,DEN,GSW
Shot Chart Detail,0022400058,222,201939,Stephen Curry,1610612744,Golden State Warriors,2,8,56,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-233,59,1,1,20241203,DEN,GSW
Shot Chart Detail,0022400058,246,201939,Stephen Curry,1610612744,Golden State Warriors,2,7,54,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-138,233,1,0,20241203,DEN,GSW
Shot Chart Detail,0022400058,254,201939,Stephen Curry,1610612744,Golden State Warriors,2,6,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,62,278,1,1,20241203,DEN,GSW
Shot Chart Detail,0022400058,352,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,21,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,29,27,293,1,0,20241203,DEN,GSW
Shot Chart Detail,0022400058,382,201939,Stephen Curry,1610612744,Golden State Warriors,3,10,40,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,2,1,0,20241203,DEN,GSW
Shot Chart Detail,0022400058,388,201939,Stephen Curry,1610612744,Golden State Warriors,3,10,12,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,10,1,0,20241203,DEN,GSW
Shot Chart Detail,0022400058,392,201939,Stephen Curry,1610612744,Golden State Warriors,3,9,49,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,2,1,0,20241203,DEN,GSW
Shot Chart Detail,0022400058,553,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,35,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,29,82,281,1,0,20241203,DEN,GSW
Shot Chart Detail,0022400058,582,201939,Stephen Curry,1610612744,Golden State Warriors,4,10,27,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-116,87,1,0,20241203,DEN,GSW
Shot Chart Detail,0022400058,584,201939,Stephen Curry,1610612744,Golden State Warriors,4,10,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-70,258,1,0,20241203,DEN,GSW
Shot Chart Detail,0022400058,613,201939,Stephen Curry,1610612744,Golden State Warriors,4,8,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,186,176,1,1,20241203,DEN,GSW
Shot Chart Detail,0022400058,675,201939,Stephen Curry,1610612744,Golden State Warriors,4,4,3,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-6,32,1,1,20241203,DEN,GSW
Shot Chart Detail,0022400058,687,201939,Stephen Curry,1610612744,Golden State Warriors,4,3,0,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,43,260,1,0,20241203,DEN,GSW
Shot Chart Detail,0022400058,693,201939,Stephen Curry,1610612744,Golden State Warriors,4,2,32,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,112,82,1,1,20241203,DEN,GSW
Shot Chart Detail,0022400058,722,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,2,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,115,242,1,0,20241203,DEN,GSW
Shot Chart Detail,0022400072,27,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-1,257,1,0,20241023,POR,GSW
Shot Chart Detail,0022400072,46,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,0,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,29,1,0,20241023,POR,GSW
Shot Chart Detail,0022400072,62,201939,Stephen Curry,1610612744,Golden State Warriors,1,7,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,99,239,1,0,20241023,POR,GSW
Shot Chart Detail,0022400072,110,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,34,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,8,1,0,20241023,POR,GSW
Shot Chart Detail,0022400072,263,201939,Stephen Curry,1610612744,Golden State Warriors,2,6,38,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,13,1,0,20241023,POR,GSW
Shot Chart Detail,0022400072,309,201939,Stephen Curry,1610612744,Golden State Warriors,2,3,38,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,13,1,1,20241023,POR,GSW
Shot Chart Detail,0022400072,375,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,224,111,1,0,20241023,POR,GSW
Shot Chart Detail,0022400072,387,201939,Stephen Curry,1610612744,Golden State Warriors,3,11,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,201,151,1,1,20241023,POR,GSW
Shot Chart Detail,0022400072,453,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,36,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,119,240,1,1,20241023,POR,GSW
Shot Chart Detail,0022400072,469,201939,Stephen Curry,1610612744,Golden State Warriors,3,5,36,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,9,1,1,20241023,POR,GSW
Shot Chart Detail,0022400084,9,201939,Stephen Curry,1610612744,Golden State Warriors,1,11,24,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,18,1,1,20241025,UTA,GSW
Shot Chart Detail,0022400084,12,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,51,251,1,0,20241025,UTA,GSW
Shot Chart Detail,0022400084,46,201939,Stephen Curry,1610612744,Golden State Warriors,1,7,57,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-143,211,1,0,20241025,UTA,GSW
Shot Chart Detail,0022400084,109,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-172,225,1,0,20241025,UTA,GSW
Shot Chart Detail,0022400084,113,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,41,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,43,33,1,0,20241025,UTA,GSW
Shot Chart Detail,0022400084,116,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,36,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,10,1,0,20241025,UTA,GSW
Shot Chart Detail,0022400084,129,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,49,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-207,157,1,1,20241025,UTA,GSW
Shot Chart Detail,0022400084,268,201939,Stephen Curry,1610612744,Golden State Warriors,2,6,14,Missed Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-7,44,1,0,20241025,UTA,GSW
Shot Chart Detail,0022400084,374,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,0,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-1,68,1,0,20241025,UTA,GSW
Shot Chart Detail,0022400084,384,201939,Stephen Curry,1610612744,Golden State Warriors,3,11,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,235,105,1,1,20241025,UTA,GSW
Shot Chart Detail,0022400084,405,201939,Stephen Curry,1610612744,Golden State Warriors,3,10,10,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,162,77,1,1,20241025,UTA,GSW
Shot Chart Detail,0022400084,419,201939,Stephen Curry,1610612744,Golden State Warriors,3,9,31,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,21,1,0,20241025,UTA,GSW
Shot Chart Detail,0022400084,446,201939,Stephen Curry,1610612744,Golden State Warriors,3,8,44,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,-2,1,1,20241025,UTA,GSW
Shot Chart Detail,0022400084,461,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,38,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,172,219,1,0,20241025,UTA,GSW
Shot Chart Detail,0022400084,466,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,5,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-34,136,1,1,20241025,UTA,GSW
Shot Chart Detail,0022400084,470,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,189,198,1,0,20241025,UTA,GSW
Shot Chart Detail,0022400084,503,201939,Stephen Curry,1610612744,Golden State Warriors,3,4,9,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-229,56,1,0,20241025,UTA,GSW
Shot Chart Detail,0022400084,509,201939,Stephen Curry,1610612744,Golden State Warriors,3,3,28,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,3,1,0,20241025,UTA,GSW
Shot Chart Detail,0022400084,517,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,205,185,1,1,20241025,UTA,GSW
Shot Chart Detail,0022400084,521,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,2,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,188,197,1,0,20241025,UTA,GSW
Shot Chart Detail,0022400101,9,201939,Stephen Curry,1610612744,Golden State Warriors,1,11,32,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,239,52,1,1,20241027,GSW,LAC
Shot Chart Detail,0022400101,43,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,19,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-16,277,1,1,20241027,GSW,LAC
Shot Chart Detail,0022400101,107,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,26,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-221,85,1,0,20241027,GSW,LAC
Shot Chart Detail,0022400101,330,201939,Stephen Curry,1610612744,Golden State Warriors,2,3,37,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,30,16,306,1,0,20241027,GSW,LAC
Shot Chart Detail,0022400101,356,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,39,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-28,260,1,1,20241027,GSW,LAC
Shot Chart Detail,0022400101,370,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,1,Missed Shot,Pullup Jump shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,42,15,425,1,0,20241027,GSW,LAC
Shot Chart Detail,0022400101,419,201939,Stephen Curry,1610612744,Golden State Warriors,3,9,34,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-11,29,1,1,20241027,GSW,LAC
Shot Chart Detail,0022400101,422,201939,Stephen Curry,1610612744,Golden State Warriors,3,9,9,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,51,84,1,1,20241027,GSW,LAC
Shot Chart Detail,0022400101,450,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,26,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,15,1,0,20241027,GSW,LAC
Shot Chart Detail,0022400101,465,201939,Stephen Curry,1610612744,Golden State Warriors,3,5,54,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,23,1,0,20241027,GSW,LAC
Shot Chart Detail,0022400101,481,201939,Stephen Curry,1610612744,Golden State Warriors,3,4,19,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,202,153,1,1,20241027,GSW,LAC
Shot Chart Detail,0022400155,15,201939,Stephen Curry,1610612744,Golden State Warriors,1,11,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-213,169,1,1,20241104,WAS,GSW
